"Station Name","TORONTO INTL A"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.63"
"Elevation","173.40"
"Climate Identifier","6158731"
"WMO Identifier","71624"
"TC Identifier","YYZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-02-10","2018","02","10","‡","-4.4","","-6.7","","-5.6","","23.6","","0.0","","0.0","","6.4","","5.6","","14","","","","<31",""
"2018-02-11","2018","02","11","‡","-1.3","","-7.2","","-4.3","","22.3","","0.0","","0.0","","1.0","","3.4","","19","","29","","50",""
"2018-02-12","2018","02","12","‡","-3.0","","-12.2","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","18","","28","","41",""
"2018-02-13","2018","02","13","‡","-2.2","","-14.1","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
"2018-02-14","2018","02","14","‡","5.2","","-4.2","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","14","","24","","37",""
"2018-02-15","2018","02","15","‡","8.0","","2.6","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","6","","24","","43",""
"2018-02-16","2018","02","16","‡","3.3","","-7.2","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","T","32","","61",""
"2018-02-17","2018","02","17","‡","-0.4","","-7.7","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","0","T","20","","33",""
"2018-02-18","2018","02","18","‡","4.2","","-3.5","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","0","T","27","","39",""
"2018-02-19","2018","02","19","‡","4.2","","-2.8","","0.7","","17.3","","0.0","","13.4","","0.0","","13.4","","0","T","","","<31",""
"2018-02-20","2018","02","20","‡","16.5","","2.8","","9.7","","8.3","","0.0","","7.6","","0.0","","7.6","","0","T","22","","52",""
"2018-02-21","2018","02","21","‡","14.6","","-2.3","","6.2","","11.8","","0.0","","8.0","","0.0","","8.0","","","","35","","50",""
"2018-02-22","2018","02","22","‡","2.0","","-3.2","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","","","34","","33",""
"2018-02-23","2018","02","23","‡","6.3","","-1.0","","2.7","","15.3","","0.0","","3.0","","0.0","","3.0","","","","29","","46",""
"2018-02-24","2018","02","24","‡","4.9","","0.9","","2.9","","15.1","","0.0","","0.0","T","0.0","","0.0","T","","","10","","54",""
"2018-02-25","2018","02","25","‡","12.0","","1.0","","6.5","","11.5","","0.0","","4.8","","0.0","","4.8","","","","25","","69",""
"2018-02-26","2018","02","26","‡","7.7","","-1.2","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","26","","46",""
"2018-02-27","2018","02","27","‡","13.7","","-1.4","","6.2","","11.8","","0.0","","0.0","","0.0","","0.0","","","","25","","63",""
"2018-02-28","2018","02","28","‡","16.2","","1.8","","9.0","","9.0","","0.0","","0.0","","0.0","","0.0","","","","35","","46",""
"2018-03-01","2018","03","01","‡","4.2","","-0.6","","1.8","","16.2","","0.0","","0.2","","0.6","","0.8","","1","","2","","69",""
"2018-03-02","2018","03","02","‡","4.1","","-2.2","","1.0","","17.0","","0.0","","0.0","","0.4","","0.4","","1","","35","","65",""
"2018-03-03","2018","03","03","‡","3.9","","-3.9","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","","","1","","54",""
"2018-03-04","2018","03","04","‡","2.0","","-4.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","35","","46",""
"2018-03-05","2018","03","05","‡","4.5","","-6.3","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","","","35","","37",""
"2018-03-06","2018","03","06","‡","1.3","","-1.6","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","11","","48",""
"2018-03-07","2018","03","07","‡","2.6","","-1.5","","0.6","","17.4","","0.0","","0.0","","0.2","","0.2","","","","25","","43",""
"2018-03-08","2018","03","08","‡","-0.6","","-3.4","","-2.0","","20.0","","0.0","","0.0","","0.0","T","0.0","T","","","26","","43",""
"2018-03-09","2018","03","09","‡","4.4","","-3.8","","0.3","","17.7","","0.0","","0.0","","0.4","","0.4","","","","30","","52",""
"2018-03-10","2018","03","10","‡","2.4","","-4.2","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","","","31","","39",""
"2018-03-11","2018","03","11","‡","3.0","","-4.6","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","32","","32",""
"2018-03-12","2018","03","12","‡","0.0","","-3.7","","-1.9","","19.9","","0.0","","0.0","","5.8","","2.8","","0","T","","","<31",""
"2018-03-13","2018","03","13","‡","1.4","","-4.2","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","5","","33","","46",""
"2018-03-14","2018","03","14","‡","1.2","","-4.9","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","1","","27","","59",""
"2018-03-15","2018","03","15","‡","4.8","","-5.3","","-0.3","","18.3","","0.0","","0.0","","1.4","","1.4","","0","T","33","","50",""
"2018-03-16","2018","03","16","‡","-0.1","","-7.4","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","1","","28","","56",""
"2018-03-17","2018","03","17","‡","6.3","","-6.3","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","T","29","","48",""
"2018-03-18","2018","03","18","‡","10.5","","-6.4","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","","","14","","63",""
"2018-03-19","2018","03","19","‡","0.3","","-7.6","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","","","4","","30",""
"2018-03-20","2018","03","20","‡","3.4","","-7.8","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","10","","37",""
"2018-03-21","2018","03","21","‡","5.0","","-4.8","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","","","1","","41",""
"2018-03-22","2018","03","22","‡","5.3","","-4.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","0","","48",""
"2018-03-23","2018","03","23","‡","4.3","","-4.4","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","36","","48",""
"2018-03-24","2018","03","24","‡","2.9","","-5.6","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","35","","48",""
"2018-03-25","2018","03","25","‡","3.4","","-8.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","","","11","","35",""
"2018-03-26","2018","03","26","‡","9.2","","-2.4","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","9","","44",""
"2018-03-27","2018","03","27","‡","7.1","","2.5","","4.8","","13.2","","0.0","","4.4","","0.0","","4.4","","","","13","","32",""
"2018-03-28","2018","03","28","‡","8.1","","2.0","","5.1","","12.9","","0.0","","0.0","","0.0","","0.0","","","","34","","33",""
"2018-03-29","2018","03","29","‡","6.5","","0.9","","3.7","","14.3","","0.0","","17.2","","0.0","","17.2","","","","36","","37",""
"2018-03-30","2018","03","30","‡","5.3","","-2.1","","1.6","","16.4","","0.0","","0.2","","0.0","","0.2","","","","33","","54",""
"2018-03-31","2018","03","31","‡","9.1","","-1.3","","3.9","","14.1","","0.0","","4.8","","0.0","","4.8","","","","22","","72",""
"2018-04-01","2018","04","01","‡","3.6","","-3.7","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","","","30","","74",""
"2018-04-02","2018","04","02","‡","7.3","","-3.5","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","","","24","","35",""
"2018-04-03","2018","04","03","‡","4.8","","1.7","","3.3","","14.7","","0.0","","20.8","","0.0","","20.8","","","","11","","46",""
"2018-04-04","2018","04","04","‡","5.1","","-4.7","","0.2","","17.8","","0.0","","4.8","","0.0","T","4.8","","","","28","","96",""
"2018-04-05","2018","04","05","‡","2.0","","-5.4","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","27","","48",""
"2018-04-06","2018","04","06","‡","4.9","","-3.7","","0.6","","17.4","","0.0","","0.2","","1.4","","1.8","","1","","29","","69",""
"2018-04-07","2018","04","07","‡","0.9","","-6.1","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","","","31","","54",""
"2018-04-08","2018","04","08","‡","1.8","","-5.5","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","","","30","","50",""
"2018-04-09","2018","04","09","‡","3.3","","-5.5","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2018-04-10","2018","04","10","‡","6.5","","-3.2","","1.7","","16.3","","0.0","","0.4","","0.4","","0.4","","0","T","26","","39",""
"2018-04-11","2018","04","11","‡","5.5","","-0.3","","2.6","","15.4","","0.0","","1.2","","0.0","","1.2","","","","24","","44",""
"2018-04-12","2018","04","12","‡","15.9","","-2.1","","6.9","","11.1","","0.0","","2.6","","0.0","","2.6","","","","31","","46",""
"2018-04-13","2018","04","13","‡","5.9","","1.6","","3.8","","14.2","","0.0","","7.4","","0.0","","7.4","","","","35","","30",""
"2018-04-14","2018","04","14","‡","3.8","","-4.4","","-0.3","","18.3","","0.0","","5.6","","4.2","","35.8","","1","","5","","52",""
"2018-04-15","2018","04","15","‡","0.8","","-4.0","","-1.6","","19.6","","0.0","","15.2","","3.8","","28.2","","4","","8","","74",""
"2018-04-16","2018","04","16","‡","2.9","","0.8","","1.9","","16.1","","0.0","","18.6","","0.0","T","18.6","","4","","6","","69",""
"2018-04-17","2018","04","17","‡","1.1","","-2.0","","-0.5","","18.5","","0.0","","0.0","","0.2","","0.2","","2","","27","","48",""
"2018-04-18","2018","04","18","‡","3.5","","0.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","2","","26","","41",""
"2018-04-19","2018","04","19","‡","3.3","","-0.5","","1.4","","16.6","","0.0","","0.0","","0.0","T","0.0","T","1","","32","","54",""
"2018-04-20","2018","04","20","‡","8.3","","-2.3","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","T","33","","46",""
"2018-04-21","2018","04","21","‡","14.1","","-2.1","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"2018-04-22","2018","04","22","‡","16.6","","0.4","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"2018-04-23","2018","04","23","‡","18.7","","2.0","","10.4","","7.6","","0.0","","0.0","","0.0","","0.0","","","","10","","32",""
"2018-04-24","2018","04","24","‡","16.8","","6.8","","11.8","","6.2","","0.0","","4.2","","0.0","","4.2","","","","16","","37",""
"2018-04-25","2018","04","25","‡","11.2","","3.7","","7.5","","10.5","","0.0","","18.8","","0.0","","18.8","","","","32","","54",""
"2018-04-26","2018","04","26","‡","15.9","","3.4","","9.7","","8.3","","0.0","","0.6","","0.0","","0.6","","","","33","","54",""
"2018-04-27","2018","04","27","‡","14.6","","2.4","","8.5","","9.5","","0.0","","3.0","","0.0","","3.0","","","","32","","39",""
"2018-04-28","2018","04","28","‡","8.2","","0.8","","4.5","","13.5","","0.0","","1.8","","0.0","","1.8","","","","33","","48",""
"2018-04-29","2018","04","29","‡","11.9","","0.0","","6.0","","12.0","","0.0","","0.0","","0.4","","0.4","","","","34","","59",""
"2018-04-30","2018","04","30","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-01","2018","05","01","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-02","2018","05","02","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-03","2018","05","03","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-04","2018","05","04","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-05","2018","05","05","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-06","2018","05","06","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-07","2018","05","07","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-08","2018","05","08","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-09","2018","05","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-10","2018","05","10","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-11","2018","05","11","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-12","2018","05","12","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-13","2018","05","13","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-14","2018","05","14","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-15","2018","05","15","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-16","2018","05","16","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-17","2018","05","17","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-18","2018","05","18","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-19","2018","05","19","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-20","2018","05","20","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-21","2018","05","21","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-22","2018","05","22","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-23","2018","05","23","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-24","2018","05","24","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-25","2018","05","25","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-26","2018","05","26","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-27","2018","05","27","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-28","2018","05","28","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-29","2018","05","29","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-30","2018","05","30","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-31","2018","05","31","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-01","2018","06","01","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-02","2018","06","02","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-03","2018","06","03","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-04","2018","06","04","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-05","2018","06","05","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-06","2018","06","06","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-07","2018","06","07","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-08","2018","06","08","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-09","2018","06","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-10","2018","06","10","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-11","2018","06","11","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-12","2018","06","12","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-13","2018","06","13","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-14","2018","06","14","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-15","2018","06","15","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-16","2018","06","16","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-17","2018","06","17","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-18","2018","06","18","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-19","2018","06","19","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-20","2018","06","20","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-21","2018","06","21","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-22","2018","06","22","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-23","2018","06","23","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-24","2018","06","24","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-25","2018","06","25","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-26","2018","06","26","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-27","2018","06","27","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-28","2018","06","28","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-29","2018","06","29","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-30","2018","06","30","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-01","2018","07","01","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-02","2018","07","02","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-03","2018","07","03","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-04","2018","07","04","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-05","2018","07","05","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-06","2018","07","06","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-07","2018","07","07","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-08","2018","07","08","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-09","2018","07","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-10","2018","07","10","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-11","2018","07","11","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-12","2018","07","12","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-13","2018","07","13","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-14","2018","07","14","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-15","2018","07","15","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-16","2018","07","16","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-17","2018","07","17","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-18","2018","07","18","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-19","2018","07","19","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-20","2018","07","20","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-21","2018","07","21","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-22","2018","07","22","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-23","2018","07","23","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-24","2018","07","24","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-25","2018","07","25","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-26","2018","07","26","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-27","2018","07","27","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-28","2018","07","28","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-29","2018","07","29","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-30","2018","07","30","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-31","2018","07","31","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-01","2018","08","01","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-02","2018","08","02","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-03","2018","08","03","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-04","2018","08","04","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-05","2018","08","05","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-06","2018","08","06","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-07","2018","08","07","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-08","2018","08","08","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-09","2018","08","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-10","2018","08","10","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-11","2018","08","11","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-12","2018","08","12","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-13","2018","08","13","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-14","2018","08","14","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-15","2018","08","15","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-16","2018","08","16","‡","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-17","2018","08","17","‡","","","","","","","","","","","","","","","","","","","","","",""
